Unicode case folding

Unicode character; Mapping type; Folded equivalent # Description
U+0041; C; U+0061; # LATIN CAPITAL LETTER A
U+0042; C; U+0062; # LATIN CAPITAL LETTER B
U+0043; C; U+0063; # LATIN CAPITAL LETTER C
U+0044; C; U+0064; # LATIN CAPITAL LETTER D
U+0045; C; U+0065; # LATIN CAPITAL LETTER E
U+0046; C; U+0066; # LATIN CAPITAL LETTER F
U+0047; C; U+0067; # LATIN CAPITAL LETTER G
U+0048; C; U+0068; # LATIN CAPITAL LETTER H
U+0049; C; U+0069; # LATIN CAPITAL LETTER I
U+0049; T; U+0131; # LATIN CAPITAL LETTER I
U+004A; C; U+006A; # LATIN CAPITAL LETTER J
U+004B; C; U+006B; # LATIN CAPITAL LETTER K
U+004C; C; U+006C; # LATIN CAPITAL LETTER L
U+004D; C; U+006D; # LATIN CAPITAL LETTER M
U+004E; C; U+006E; # LATIN CAPITAL LETTER N
U+004F; C; U+006F; # LATIN CAPITAL LETTER O
U+0050; C; U+0070; # LATIN CAPITAL LETTER P
U+0051; C; U+0071; # LATIN CAPITAL LETTER Q
U+0052; C; U+0072; # LATIN CAPITAL LETTER R
U+0053; C; U+0073; # LATIN CAPITAL LETTER S
U+0054; C; U+0074; # LATIN CAPITAL LETTER T
U+0055; C; U+0075; # LATIN CAPITAL LETTER U
U+0056; C; U+0076; # LATIN CAPITAL LETTER V
U+0057; C; U+0077; # LATIN CAPITAL LETTER W
U+0058; C; U+0078; # LATIN CAPITAL LETTER X
U+0059; C; U+0079; # LATIN CAPITAL LETTER Y
U+005A; C; U+007A; # LATIN CAPITAL LETTER Z
U+00B5; C; U+03BC; # MICRO SIGN
U+00C0; C; U+00E0; # LATIN CAPITAL LETTER A WITH GRAVE
U+00C1; C; U+00E1; # LATIN CAPITAL LETTER A WITH ACUTE
U+00C2; C; U+00E2; # LATIN CAPITAL LETTER A WITH CIRCUMFLEX
U+00C3; C; U+00E3; # LATIN CAPITAL LETTER A WITH TILDE
U+00C4; C; U+00E4; # LATIN CAPITAL LETTER A WITH DIAERESIS
U+00C5; C; U+00E5; # LATIN CAPITAL LETTER A WITH RING ABOVE
U+00C6; C; U+00E6; # LATIN CAPITAL LETTER AE
U+00C7; C; U+00E7; # LATIN CAPITAL LETTER C WITH CEDILLA
U+00C8; C; U+00E8; # LATIN CAPITAL LETTER E WITH GRAVE
U+00C9; C; U+00E9; # LATIN CAPITAL LETTER E WITH ACUTE
U+00CA; C; U+00EA; # LATIN CAPITAL LETTER E WITH CIRCUMFLEX
U+00CB; C; U+00EB; # LATIN CAPITAL LETTER E WITH DIAERESIS
U+00CC; C; U+00EC; # LATIN CAPITAL LETTER I WITH GRAVE
U+00CD; C; U+00ED; # LATIN CAPITAL LETTER I WITH ACUTE
U+00CE; C; U+00EE; # LATIN CAPITAL LETTER I WITH CIRCUMFLEX
U+00CF; C; U+00EF; # LATIN CAPITAL LETTER I WITH DIAERESIS
U+00D0; C; U+00F0; # LATIN CAPITAL LETTER ETH
U+00D1; C; U+00F1; # LATIN CAPITAL LETTER N WITH TILDE
U+00D2; C; U+00F2; # LATIN CAPITAL LETTER O WITH GRAVE
U+00D3; C; U+00F3; # LATIN CAPITAL LETTER O WITH ACUTE
U+00D4; C; U+00F4; # LATIN CAPITAL LETTER O WITH CIRCUMFLEX
U+00D5; C; U+00F5; # LATIN CAPITAL LETTER O WITH TILDE
U+00D6; C; U+00F6; # LATIN CAPITAL LETTER O WITH DIAERESIS
U+00D8; C; U+00F8; # LATIN CAPITAL LETTER O WITH STROKE
U+00D9; C; U+00F9; # LATIN CAPITAL LETTER U WITH GRAVE
U+00DA; C; U+00FA; # LATIN CAPITAL LETTER U WITH ACUTE
U+00DB; C; U+00FB; # LATIN CAPITAL LETTER U WITH CIRCUMFLEX
U+00DC; C; U+00FC; # LATIN CAPITAL LETTER U WITH DIAERESIS
U+00DD; C; U+00FD; # LATIN CAPITAL LETTER Y WITH ACUTE
U+00DE; C; U+00FE; # LATIN CAPITAL LETTER THORN
U+00DF; F; U+0073 U+0073; # LATIN SMALL LETTER SHARP S
U+0100; C; U+0101; # LATIN CAPITAL LETTER A WITH MACRON
U+0102; C; U+0103; # LATIN CAPITAL LETTER A WITH BREVE
U+0104; C; U+0105; # LATIN CAPITAL LETTER A WITH OGONEK
U+0106; C; U+0107; # LATIN CAPITAL LETTER C WITH ACUTE
U+0108; C; U+0109; # LATIN CAPITAL LETTER C WITH CIRCUMFLEX
U+010A; C; U+010B; # LATIN CAPITAL LETTER C WITH DOT ABOVE
U+010C; C; U+010D; # LATIN CAPITAL LETTER C WITH CARON
U+010E; C; U+010F; # LATIN CAPITAL LETTER D WITH CARON
U+0110; C; U+0111; # LATIN CAPITAL LETTER D WITH STROKE
U+0112; C; U+0113; # LATIN CAPITAL LETTER E WITH MACRON
U+0114; C; U+0115; # LATIN CAPITAL LETTER E WITH BREVE
U+0116; C; U+0117; # LATIN CAPITAL LETTER E WITH DOT ABOVE
U+0118; C; U+0119; # LATIN CAPITAL LETTER E WITH OGONEK
U+011A; C; U+011B; # LATIN CAPITAL LETTER E WITH CARON
U+011C; C; U+011D; # LATIN CAPITAL LETTER G WITH CIRCUMFLEX
U+011E; C; U+011F; # LATIN CAPITAL LETTER G WITH BREVE
U+0120; C; U+0121; # LATIN CAPITAL LETTER G WITH DOT ABOVE
U+0122; C; U+0123; # LATIN CAPITAL LETTER G WITH CEDILLA
U+0124; C; U+0125; # LATIN CAPITAL LETTER H WITH CIRCUMFLEX
U+0126; C; U+0127; # LATIN CAPITAL LETTER H WITH STROKE
U+0128; C; U+0129; # LATIN CAPITAL LETTER I WITH TILDE
U+012A; C; U+012B; # LATIN CAPITAL LETTER I WITH MACRON
U+012C; C; U+012D; # LATIN CAPITAL LETTER I WITH BREVE
U+012E; C; U+012F; # LATIN CAPITAL LETTER I WITH OGONEK
U+0130; F; U+0069 U+0307; # LATIN CAPITAL LETTER I WITH DOT ABOVE
